iter	Passed	Remaining
730	4134	1521
731	4138	1515
732	4139	1507
733	4141	1500
734	4145	1494
735	4146	1487
736	4148	1480
737	4150	1473
738	4152	1466
739	4157	1460
740	4159	1453
741	4164	1447
742	4166	1441
743	4168	1434
744	4171	1427
745	4173	1420
746	4175	1414
747	4176	1407
748	4179	1400
749	4181	1393
750	4184	1387
751	4186	1380
752	4188	1373
753	4192	1367
754	4195	1361
755	4208	1358
756	4212	1352
757	4214	1345
758	4217	1339
759	4219	1332
760	4220	1325
761	4224	1319
762	4225	1312
763	4227	1305
764	4231	1299
765	4233	1293
766	4238	1287
767	4240	1281
768	4244	1275
769	4246	1268
770	4247	1261
771	4250	1255
772	4251	1248
773	4257	1243
774	4260	1236
775	4262	1230
776	4265	1224
777	4267	1217
778	4270	1211
779	4272	1205
780	4274	1198
781	4279	1193
782	4286	1187
783	4288	1181
784	4291	1175
785	4298	1170
786	4307	1165
787	4315	1161
788	4318	1154
789	4320	1148
790	4325	1142
791	4327	1136
792	4331	1130
793	4333	1124
794	4335	1118
795	4338	1111
796	4340	1105
797	4344	1099
798	4346	1093
799	4348	1087
800	4351	1081
801	4352	1074
802	4354	1068
803	4358	1062
804	4360	1056
805	4364	1050
806	4366	1044
807	4368	1038
808	4370	1031
809	4372	1025
810	4373	1019
811	4375	1013
812	4377	1006
813	4378	1000
814	4379	994
815	4381	987
816	4383	981
817	4384	975
818	4386	969
819	4387	963
820	4389	956
821	4391	950
822	4392	944
823	4394	938
824	4395	932
825	4397	926
826	4399	920
827	4400	914
828	4402	908
829	4403	902
830	4405	895
831	4406	889
832	4407	883
833	4409	877
834	4410	871
835	4412	865
836	4413	859
837	4414	853
838	4416	847
839	4417	841
840	4419	835
841	4420	829
842	4421	823
843	4423	817
844	4425	811
845	4427	805
846	4428	799
847	4430	794
848	4431	788
849	4433	782
850	4434	776
851	4435	770
852	4437	764
853	4439	758
854	4440	753
855	4442	747
856	4443	741
857	4445	735
858	4447	729
859	4448	724
860	4450	718
861	4451	712
862	4453	706
863	4455	701
864	4456	695
865	4457	689
866	4459	684
867	4460	678
868	4461	672
869	4462	666
870	4464	661
871	4466	655
872	4467	649
873	4468	644
874	4470	638
875	4471	632
876	4473	627
877	4474	621
878	4475	616
879	4477	610
880	4479	605
881	4480	599
882	4481	593
883	4483	588
884	4486	583
885	4489	577
886	4494	572
887	4496	567
888	4498	561
889	4501	556
890	4503	550
891	4507	545
892	4511	540
893	4513	535
